Username	Answer
aggar117	"I like how this is a very AI-focused class due to the fact that AI has become an integral part of the workforce. Learning how to develop financial analysis scripts at this point in our careers is setting us up for success if we were to enter a field that utilizes AI-based analysis. This is also a great brush-up on our coding abilities. While the AI aspect is great, I wish we covered some of the fundamental financial concepts a little bit more in depth. This would really help in understanding what we're writing scripts for and just overall comprehension of the financial industry. Other than that, I'm enjoying this class."
salharth	"The good: I liked that we were able to freely use AI tools to further our understanding. It made the material more accessible and gave us another way to practice and check our work.   The bad: I didn't like how complicated the submission process was. It sometimes felt confusing or took extra steps that made turning in assignments harder than it needed to be.   The wish list: I wish we could talk more clearly about future assignments and what is expected of us. Having clearer guidance ahead of time would make it easier to prepare and plan.   In my own words: Overall, I thought the course was valuable. I learned a lot of useful tools for financial management, and using AI really helped me engage with the material. At the same time, simplifying the submission process and providing clearer expectations for assignments would make the course even stronger."
ali243	"me and scott were together todays class was really interesting, we learned how do ceos make there money. how the stock system works in alittle more detail. We also learned alittle about day trading. Scott and I discussed alittle about the project and that was it!"
ali216	"I like how the class is discussion based. It is nice to feel included because it can be hard to follow a professor who just speaks off of notes. Since we are doing projects, it would be great if we could have a class once every week or two doing a mini project where we follow along and code with you similar to the homework or projects due. It would make it easier to watch a professional like you applying DRIVER and then it would make doing homework much better because we have a framework to visualize. Overall, I love learning in this class lots with my goal being to get an A. If I see myself worrying about my grade, I will attend office hours or schedule an appointment. Thanks!"
nazevedo	"- The good, the bad; I like the tempo of the class, the examples given and how we are using excel. I would rather have the homework like the quizzes.   - The wish list; Have homework like the first quiz that we did.  Additionally, having the homework as some exercises by hand and others through excel would be an interesting dynamic.    - The feedback in your own word; Other than that I am finding this class interesting and well taught."
rbadam	The good: the use of AI is beneficial in some aspects to help us understand. The structuring of assignments gives a hands-off manner in which to do of such.    The bad: too much AI is used sometimes its hard to tell if this class is about financial management or AI and the line is heavily blurred.    The Wishlist: are harder/stronger emphasis on financial management and less use of google colab and AI. Google slides/powerpoint presentations more similar to a traditional learning situation with AI as a supporting backbone.
cbakota	"I like the integration and use of AI. Not just copy and pasting but actually teaching us the usefulness of AI. Knowing the best way to prompt so the AI will help us to complete more complex tasks. I don't like some of the examples from the book on how to learn the topics of the course. Some are a little confusing or not explained well. I hope that we can go over more of the techniques like DRIVER, or other AI prompting techniques to help create the most productive ways to utilize AI in my future career and day to day life.   I think the course is useful but certain subjects in the course are easily confused for me and some people. I like the idea of actually learning instead of trying to memorize for the sake of an exam. I like that you make us solve our problems but sometimes a little guidance in the right direction is good. Overall, I like this class but slightly more structure in the right direction when some people ask questions will help the learning so we are not learning unimportant information when we are researching."
bansa128	"I like the course and the flow of it. I really like how the course is just not focused on testing, but learning too. However, I feel the structure of the course could be improved a bit. Overall, I really like the course."
sbavana	"1. It is invigorating and I love the fact that we integrate AI into this. It doesn't feel too much of an offense to use Gemini or ChatGPT for homework anymore. It also makes me feel more confident in my learning ability. I also love the attendance policy! 2. As for now, I have none.  3. I absolutely love this class."
beebe9	"I really appreciate the enthusiasm and positive energy you bring to class every day, it helps makes the class more engaging. One area where I think the course could improve is providing a bit more instruction and guidance on some of the assignments. I think this would help clear up any questions and make me (and likely others) feel more confident in meeting expectations. Throughout the semester, I would like to learn more about personal finance and how to use this class to help expand my investment portfolio."
