Username	Answer
aggar117	"When this semester started, I was using AI without a structured way to prompt it. I was simply telling it what I needed done, but was not providing the necessary context/parameters. In terms of the intersection between AI and finance, I knew that this combination existed, but I had not explored it at all. I didn't even know how to approach the concept. I think I was pretty comfortable using AI to learn, however. I had been using AI to guide my understanding in classes and having it explain concepts to me in a easy-to-understand way. What surprised me about myself this semester was how quickly I adopted the DRIVER framework into AI usage for classes outside of this class. It began to be my go-to prompting strategy and this really helped me utilize AI to its full potential this semester.ÿ
When we started adopting automated workflows into this class (project 2), that's when I felt myself grow the most. I needed to use n8n for another project in another class at the same time, so using AI and DRIVER to guide me through how to utilize n8n really helped me grow beyond my basic understanding of the content. I really enjoyed learning how to use n8n and how to apply it to both projects. I think I grew the most while working on that project since it forced me to combine my current learning process and a new learning process to finish up a complex task.ÿ
My relationship with AI has definitely leveled up from the start of the semester. I am much more confident in my ability to utilize AI when solving complex problems and in teaching myself new content. I am comfortable exploring uncertain paths now because of my newfound confidence in the use of AI to supplement my learning journey. Above all, I will carry the DRIVER framework with me for the rest of my time at Purdue and even into the workforce. This framework has truly proven to be an incredible to enhance my usage of AI and unlock a trove of possibilities I didn't know existed before this."
salharth	"When this semester started, I saw myself as someone who understood the basics of AI and finance, but mostly from a distance. I had a general idea of what AI could do, and I thought finance was mostly about numbers and formulas. I also believed that learning meant keeping up with the work and doing enough to understand the material. I didn't realize how much depth there was behind these subjects or how much my mindset would shift as the semester went on.
What surprised me most was how quickly I adapted once I allowed myself to explore the material more actively. Instead of just memorizing or following steps, I started asking better questions and looking for the deeper meaning behind every concept. I found myself enjoying the challenge rather than avoiding it. One moment that stands out was when a topic that felt completely overwhelming suddenly made sense after I broke it into smaller pieces and used a mix of textbook examples, class discussions, and AI tools to guide my thinking. That was the first time I really felt myself grow, and it changed how I approached everything afterward.Now, I see myself as a more confident and curious learner. My relationship with AI has become more collaborative because I've learned how to use it as a tool for understanding rather than a shortcut, and I'm more aware of both its strengths and its limits. I've also become more comfortable with uncertainty. Instead of seeing confusion as a sign that I'm falling behind, I see it as a natural part of learning that I can work through. Most of all, I'm walking away with a stronger belief in my ability to tackle difficult subjects by trusting the process, staying patient, and actively engaging with the material. These are skills I know I will take with me far beyond this course."
ali243	"I came in not knowing anything about ai, and i learned alot of things in this class. The thing that surprised me the most is how useful Ai is in a day to day life. I clicked when I understood that google gemeni can help you alot. I now use google gemeni for almost everyhting, I will defiantly continue to use google gemeni in the future."
ali216	"I treated finance as mostly about using a formula for a task and then getting the right answer. AI would be used as the easy way for getting answers easier.
ÿWhen I did work, I focused on the outputs. However, using driver, I started to slow down and see where I can learn the most while doing the work.
The click happened when I was using AI as a way to assist when needed and not rely. I was starting to do work because I was passionate in learning and understanding the concepts, not just for the purpose of completion.
I see AI as a learning partner and not something to rely on. I do not want my critical thinking skills to evaporate and I feel like the more AI is relied upon, we will become mind foggy.ÿ
I will carry the habit of building progress with DRIVER. I like how it makes me think deeply and learn new ideas by iteration."
nazevedo	"Before the semester started, I was unfamiliar with financial AI integration and LLMs. Additionally, although I knew about the basics of finance and how certain decisions are made within a company, I did not have direct experience applying them as I did throughout this course.ÿOne thing that surprised me was how much information I retained because of the DRIVER framework and the homework structures. I also felt the quality of assignments improve. One moment where something finally ""clicked"" was when I spent days learning and building multiple financial workflows in n8n, leading to an interest outside class. Hence, my n8n project was definitely the work I was most proud of in MGMT310.ÿBecause of the DRIVER framework, my relationship with AI is now more efficient. For instance, I'm able to verify information and prevent hallucinations while still using AI as a tool to learn and expand my knowledge.As a result, I will most likely continue increasing my expertise in AI by utilizing all the resources Purdue has to offer. AI and Automation will be a part of my professional career."
rbadam	"When this semester began, I was a rigid learner who viewed AI as a shortcut and finance as a purely black-and-white mathematical discipline, defining success by how quickly I could find the ""right"" answer. I was surprised by my initial discomfort with ambiguity, but everything finally ""clicked"" when I realized that a statistically correct model is useless without human context and judgment. I have since evolved from a passive calculator into an active interpreter of data, viewing uncertainty not as a risk to avoid, but as a variable to manage. Moving forward, I carry the understanding that my true value lies not in generating the answer, but in having the critical insight to ask the right questions."
cbakota	At the beginning of this semester I believe I was a victim to the copy and paste mindset. Not really giving my AI a chance to help me learn and comprehend.Along the way I think my understanding and different applications of AI was most surprising. I found myself using AI and more of its features for personal gain rather than just to get information from it.ÿI think the part I felt the most growth was learning how to frame your prompt and how to utilize AI to your strengths by giving the most amount of information for the AI to use. Knowing how to get the answers I wanted from the different AI assistants.ÿI think now I use AI in a much more effective and efficient way. I think I don't just copy and paste rather I pull the most important topics and prompts and give my own information to get to the answer that I need.ÿI think the main thing I will carry forward is my understanding of Organizing my prompts better and using other AI driven services to create useful applications for myself in daily living.
bansa128	"When I started the semester, I did not know much about finance or how to use AI for finance in the correct way.
What surprised me most was how well AI helped me understand the concepts which I was taught in class and how well I could connect them.ÿSomething which finally ""clicked"" for me was when I realized I was able to make the WVAs without the amount of effort I used to put in at the start of the semester. I was hesitant to talk in front of the camera at the start, but now I am very confident with the exercise.ÿ
Right now, I understand how to use AI for my benefit much better, and I can understand concepts with the help of AI, and build projects which I could have never done before.ÿ
From this experience I will use the knowledge of finance in my future classes. I will also be using the DRIVER method to my future classes as it created a very good pathway for the projects which I had in this course and helped me complete the assignments with the desired quality."
mbaratia	"When I first started this course, I wasn't knowledgeable about how to utilize AI as a tool to conduct financial analyses. In addition, I wasn't aware of the various AI workflow tools such as n8n and Replit that could be used in addition to chat bots such as Gemini, Copilot, and ChatGPT to create real world application finance tools. Throughout this course, what surprised me the most was the versatile of uses AI has in the world of finance. I felt as if I had really begun to understand how to structure my problems using the DRIVER Framework around the completion of video assignment 4.Through taking this course, I now have been able to make AI work for me instead of the other way around, helping me improve upon my initial ideas in my mini projects and provide areas feedback from AI on potential weaknesses the finance tools I had created. I believe this course provided me with useful, real world applicable AI finance skills that I will be utilizing in the future."
beebe9	"At the beginning of this semester, I thought I had a solid understanding of finance and AI. I had taken other finance classes before, so I was familiar with much of the content. However, I had never approached AI with a financial mindset, and I had never coded in my life. Using AI to learn a completely new skill was both challenging and intriguing, and I was curious to see how it could enhance my learning experience throughout the semester.
What surprised me most about myself was how quickly I adapted to coding and using DRIVER to break down complex questions. Initially, I expected a steep learning curve, but I found that I could teach myself effectively and tackle problems I had assumed would be much harder. This confidence grew as I navigated new tools and concepts, and it was encouraging to see my progress over time.One moment where everything clicked for me was during Mini Project 2 when I was using n8n. I struggled at first to understand how the website worked and how to get the tool to function correctly. After about an hour of trial and error, I finally broke the problem down and figured it out. Not only did I make the tool work, but I even improved it along the way. That ""aha"" moment solidified my understanding of how code can support financial tools and gave me a real sense of accomplishment.Now, I am much more comfortable and confident using AI to enhance my learning and even to create tools that could be useful in my personal life. Moving forward, I will carry with me the insight that AI is not just a problem-solving tool but also a way to create practical solutions that can improve efficiency and understanding."
